comment,toxic
I fucking hate you, 1
Lets fucking go, 0
Are you fucking serious I literally had them damn it, 0
holy shit what the fuck was that, 0
you are dumb lmao, 1
you lack the knowledge to understand my extravagent lexicon, 1
please fuck me, 1
do you know who my dad is he will fuck your shit up, 1
i want to fucking die, 1
are you fucking serious right now fuck off, 1
thank you but i am good, 0
i appreciate the offer but fuck off, 1
be fucking for real, 0
there is no fucking way this just happened lol, 0
there is no fucking way this just happened fuck off, 1
lmao you stepped on shit, 0
i wrote a shit ton of toxic comments to test my model, 0
chinga tu madre, 1
chingado donde deje mis pinches llaves, 0
okay no more joking where is my dick, 0
what is ligma ligma balls bitch, 1
yes bitch damn, 1
you noodle arm bitch why dont you go lift, 1
got no gains after months in the gym, 1
damn you got a shit ton of gains, 0
have a wonderful day today, 0
have a wonderful fucking day today, 1
please god help me i need your light to save me, 0
they died lmao, 1
you suck ass, 1
move out of the way shit head, 1
please get the fuck out of the way, 1
i need you to fucking move, 1
get yo ass on, 0
what the fuck you doin, 1
you need to smell the fucking roses they smell amazing, 0
dog when I tell you how fucking amazing yesterday was, 0
please fucking love me, 1
you need to calm down its not that serious, 1
hey are you okay, 0
please tell me you broke up with them, 0
ill smoke them bro dont worry, 1
their ass is dust, 1
your fit is shit lmao, 1
damn you looking marvelous, 0
where did they get their shit its beautiful, 0
i fucking love you, 0
can you help me with the homework, 0
come on let me have your skin, 1
did you ever fucking think about anyone but yourself, 1
i hate you, 1
you deserve to fucking die, 1
its okay to feel like shit, 0
good fucking shit, 0
dont even think about it bitch, 1
thinks hes them, 0
can you please pass the fucking salt, 1
there is a long dark day ahead of us, 0
you will die alone, 1
i love you so much everything will be okay, 0
